--------- beginning of main
03-04 14:59:26.587  1678  2517 D WifiClientModeImpl[7680:wlan0]: updateLinkLayerStatsRssiSpeedFrequencyCapabilities rssi=-32 TxLinkspeed=173 freq=2437 RxLinkSpeed=173
03-04 14:59:39.145  1678  2517 D WifiScoreCard: BSSID update SIGNAL_POLL ID: 1184386015 SSID: "CPH2791 356E", BSSID: ba:1f:67:91:57:61, MAC: 16:78:c4:12:c4:32, IP: /10.222.68.90, Security type: 2, Supplicant state: COMPLETED, Wi-Fi standard: 11n, RSSI: -31, Link speed: 156Mbps, Tx Link speed: 156Mbps, Max Supported Tx Link speed: 144Mbps, Calculated Tx : 125Mbps, Rx Link speed: 192Mbps, Max Supported Rx Link speed: 144Mbps, Calculated Rx : 162Mbps, Frequency: 2437MHz, Net ID: 1, Metered hint: true, score: 60, isUsable: true, CarrierMerged: false, SubscriptionId: -1, IsPrimary: 1, Trusted: true, Restricted: false, Ephemeral: false, OEM paid: false, OEM private: false, OSU AP: false, FQDN: <none>, Provider friendly name: <none>, Requesting package name: <none>"CPH2791 356E"wpa2-pskMLO Information: , Is TID-To-Link negotiation supported by the AP: false, AP MLD Address: <none>, AP MLO Link Id: <none>, AP MLO Affiliated links: <none>, Vendor Data: <none>
03-04 14:59:39.145  1678  2517 D WifiScoreCard: txRate: 6 txSpeed: 156
03-04 14:59:39.145  1678  2517 D WifiScoreCard: network update SIGNAL_POLL "CPH2791 356E" ID: 1373722228 RSSI -31 txSpeed 156
03-04 14:59:39.147  1678  2938 I WifiService: updateWifiUsabilityScore uid=10195 seqNum=678 score=100 predictionHorizonSec=1638403
03-04 14:59:39.147  1678  2517 D WifiClientModeImpl[7680:wlan0]:  ClientModeImpl$L2ConnectedState screen=on 24 0 "CPH2791 356E" ba:1f:67:91:57:61 rssi=-31 f=2437 sc=60 link=156 tx=5.2, 0.1, 0.0 rx=5.9 bcn=23526 [on:331 tx:5 rx:3 period:3120] from screen [on:3160 period:18890] score=60
03-04 14:59:39.157  1678  2526 D ConnectivityService: NetReassign [no changes] [c 1] [a 2] [i 3]
03-04 14:59:39.228  3230  3230 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.libs.gmscorelogger.service.START dat=chimera-action:/... xflg=0x4 cmp=com.google.android.gms/.chimera.PersistentDirectBootAwareApiService }
03-04 14:59:39.253 18624 18642 I Unity   :  [Play Games Plugin 2.1.0] 03/04/26 14:59:39 +08:00 DEBUG: Initializing the PlayGamesPlatform instance.
03-04 14:59:39.253 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.253 18624 18642 I Unity   : GooglePlayGames.OurUtils.PlayGamesHelperObject:Update()
03-04 14:59:39.253 18624 18642 I Unity   : 
03-04 14:59:39.253 18624 18642 I Unity   :  [Play Games Plugin 2.1.0] 03/04/26 14:59:39 +08:00 DEBUG: Creating Android IPlayGamesClient Client
03-04 14:59:39.253 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.253 18624 18642 I Unity   : GooglePlayGames.OurUtils.PlayGamesHelperObject:Update()
03-04 14:59:39.253 18624 18642 I Unity   : 
03-04 14:59:39.254 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.254 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.254 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.254 18624 18642 I Unity   : 
03-04 14:59:39.284 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.284 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.284 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.284 18624 18642 I Unity   : 
03-04 14:59:39.320 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.320 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.320 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.320 18624 18642 I Unity   : 
03-04 14:59:39.352  4591  4607 W malpowermanager: Reducing the number of considered missed Gc histogram windows from 180 to 100
03-04 14:59:39.352 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.352 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.352 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.352 18624 18642 I Unity   : 
03-04 14:59:39.385 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.385 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.385 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.385 18624 18642 I Unity   : 
03-04 14:59:39.419 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.419 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.419 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.419 18624 18642 I Unity   : 
03-04 14:59:39.451 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.451 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.451 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.451 18624 18642 I Unity   : 
03-04 14:59:39.485 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.485 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.485 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.485 18624 18642 I Unity   : 
03-04 14:59:39.518 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.518 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.518 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.518 18624 18642 I Unity   : 
03-04 14:59:39.551 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.551 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.551 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.551 18624 18642 I Unity   : 
03-04 14:59:39.584 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.584 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.584 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.584 18624 18642 I Unity   : 
03-04 14:59:39.617 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.617 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.617 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.617 18624 18642 I Unity   : 
03-04 14:59:39.650 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.650 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.650 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.650 18624 18642 I Unity   : 
03-04 14:59:39.683 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.683 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.683 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.683 18624 18642 I Unity   : 
03-04 14:59:39.694  1532  1563 I pixel-thermal: BG_TASKS_THROTTLING_TRIGGER:28268.4 raw data: BG_TASKS_THROTTLING_TRIGGER:28268.4 VIRTUAL-SKIN:28268.4 VIRTUAL-SKIN-EQ:28268.4 VIRTUAL-SKIN-LEGACY:28538.2 VIRTUAL-SKIN-LEGACY-MODEL-DIFF:178.146 VIRTUAL-SKIN-LEGACY-SHUTDOWN:0 VIRTUAL-SKIN-MODEL:28360 VIRTUAL-SKIN-MODEL-CLAMPED:28360 VIRTUAL-SKIN-MODEL-LEGACY-DIFF:-178.146 VIRTUAL-SKIN-MODEL-UPDATED:28268.4 VIRTUAL-SKIN-MODEL-UPPER-CLAMPED:28360 VIRTUAL-SKIN-SUB-0:28538.2 VIRTUAL-SKIN-SUB-1:28465.9 VIRTUAL-SKIN-SUB-2:28204.5 VIRTUAL-SKIN-SUB-3:28366.8 VIRTUAL-SKIN-SUB-4:28330.3 VT_LEGACY_WEIGHT:0 VT_MODEL_WEIGHT:1 charging_therm:30282 disp0_therm:27232 flash_therm:27799 north_therm:28606 quiet_therm:28996 rfpa_therm:28782 soc_therm:29989 usb_pwr_therm:26952 
03-04 14:59:39.717 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.717 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.717 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.717 18624 18642 I Unity   : 
03-04 14:59:39.750 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.750 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.750 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.750 18624 18642 I Unity   : 
03-04 14:59:39.783 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.783 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.783 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.783 18624 18642 I Unity   : 
03-04 14:59:39.816 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.816 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.816 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.816 18624 18642 I Unity   : 
03-04 14:59:39.850 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.850 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.850 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.850 18624 18642 I Unity   : 
03-04 14:59:39.869  3818  3818 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.feedback.internal.IFeedbackService dat=chimera-action:/... xflg=0x4 cmp=com.google.android.gms/.chimera.GmsBoundBrokerService }
03-04 14:59:39.883 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.883 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.883 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.883 18624 18642 I Unity   : 
03-04 14:59:39.912 13967 13967 I Finsky:quick_launch: [2] afek.onTrimMemory(11): Memory trim requested to level 40
03-04 14:59:39.916 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.916 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.916 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.916 18624 18642 I Unity   : 
03-04 14:59:39.918  5607  5607 I Finsky  : [2] afek.onTrimMemory(11): Memory trim requested to level 40
03-04 14:59:39.919  6607  6607 I Finsky:background: [2] afek.onTrimMemory(11): Memory trim requested to level 40
03-04 14:59:39.923  5607  5607 I Finsky  : [2] vfc.accept(171): Flushing in-memory image cache
03-04 14:59:39.951 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.951 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.951 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.951 18624 18642 I Unity   : 
03-04 14:59:39.982 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:39.982 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:39.982 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:39.982 18624 18642 I Unity   : 
03-04 14:59:40.015 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.015 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.015 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.015 18624 18642 I Unity   : 
03-04 14:59:40.049 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.049 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.049 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.049 18624 18642 I Unity   : 
03-04 14:59:40.083 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.083 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.083 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.083 18624 18642 I Unity   : 
03-04 14:59:40.086  1678  1841 I system_server: Background young concurrent mark compact GC freed 129MB AllocSpace bytes, 11(412KB) LOS objects, 88% free, 57MB/512MB, paused 1.615ms,3.091ms total 161.914ms
03-04 14:59:40.116 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.116 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.116 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.116 18624 18642 I Unity   : 
03-04 14:59:40.133  1140  1140 W [06:59:40.130732][dhd][wlan]dhdpcie_bus_suspend: .. [06:59:40.131133][dhd][wlan]base_addr0=0x60800004
03-04 14:59:40.149 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.149 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.149 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.149 18624 18642 I Unity   : 
03-04 14:59:40.151  1140  1140 W [06:59:40.148310][dhd][wlan]dhd_plat_l1ss_ctrl: Control L1ss RC side 0
03-04 14:59:40.151  1140  1140 W [06:59:40.148355][dhd][wlan]dhd_pcie_l1ss_ctrl: Set aspm link state 0 (support_l1ss = 1)
03-04 14:59:40.166  1140  1140 I google-pcie 3c500000.pcie: Link down
03-04 14:59:40.182 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.182 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.182 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.182 18624 18642 I Unity   : 
03-04 14:59:40.214 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.214 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.214 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.214 18624 18642 I Unity   : 
03-04 14:59:40.247 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.247 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.247 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.247 18624 18642 I Unity   : 
03-04 14:59:40.256  1678  2517 D WifiNetworkSelector: Current connected network: 1
03-04 14:59:40.257  1678  2517 D WifiNetworkSelector: Current network is metered
03-04 14:59:40.257  1678  2517 V WifiConnectivityManager: No partial scan because firmware roaming is supported.
03-04 14:59:40.257  1678  2517 V WifiConnectivityManager: schedulePeriodicScanTimer intervalMs 20000
03-04 14:59:40.281 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.281 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.281 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.281 18624 18642 I Unity   : 
03-04 14:59:40.315 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.315 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.315 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.315 18624 18642 I Unity   : 
03-04 14:59:40.349 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.349 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.349 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.349 18624 18642 I Unity   : 
03-04 14:59:40.382 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.382 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.382 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.382 18624 18642 I Unity   : 
03-04 14:59:40.415 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.415 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.415 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.415 18624 18642 I Unity   : 
03-04 14:59:40.449 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.449 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.449 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.449 18624 18642 I Unity   : 
03-04 14:59:40.480  2801  3213 W BluetoothRemoteDevices: Address type mismatch for XX:XX:XX:XX:BE:83, new type: 1
03-04 14:59:40.481 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.481 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.481 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.481 18624 18642 I Unity   : 
03-04 14:59:40.485  3230  5535 I NearbyDiscovery: BloomFilterAdvManager: Detected bloom filter but too far away, ignoring. 14.12537544622754m, mac=XX:XX:XX:XX:BE:83 [CONTEXT service_id=265 group_by="62:AB:1F:BF:BE:83" ratelimit_period="30 SECONDS" ]
03-04 14:59:40.515 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.515 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.515 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.515 18624 18642 I Unity   : 
03-04 14:59:40.547 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.547 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.547 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.547 18624 18642 I Unity   : 
03-04 14:59:40.581 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.581 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.581 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.581 18624 18642 I Unity   : 
03-04 14:59:40.614 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.614 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.614 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.614 18624 18642 I Unity   : 
03-04 14:59:40.648 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.648 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.648 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.648 18624 18642 I Unity   : 
03-04 14:59:40.675  1140  1140 W [06:59:40.673177][dhd][wlan]dhdpcie_bus_suspend: .. [06:59:40.673319][dhd][wlan]base_addr0=0xffffffff
03-04 14:59:40.680 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.680 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.680 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.680 18624 18642 I Unity   : 
03-04 14:59:40.714 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.714 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.714 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.714 18624 18642 I Unity   : 
03-04 14:59:40.723  1140  1140 I google-pcie 3c500000.pcie: Link up
03-04 14:59:40.725  1140  1140 I dhdpcie 0001: 01:00.0: enabling device (0000 -> 0002)
03-04 14:59:40.725  1140  1140 W [06:59:40.722845][dhd][wlan]dhd_plat_l1ss_ctrl: Control L1ss RC side 1
03-04 14:59:40.725  1140  1140 W [06:59:40.722905][dhd][wlan]dhd_pcie_l1ss_ctrl: Set aspm link state 1e (support_l1ss = 1)
03-04 14:59:40.725  1140  1140 W [06:59:40.723143][dhd][wlan]dhd_bus_dump_dar_registers: dar_clk_ctrl(0xa08:0x10040) dar_pwr_ctrl(0xa0c:0x230000) dar_intstat(0xa10:0x4000000)
03-04 14:59:40.725  1140  1140 W [06:59:40.723224][dhd][wlan]dhd_bus_dump_dar_registers: dar_errlog(0xa60:0x0) dar_erraddr(0xa64:0x0) dar_pcie_mbint(0xa68:0x0)
03-04 14:59:40.740     0     0 W [    C6] [06: 59:40.737902][dhd][wlan]D2H_MB_DATA: D0 ACK
03-04 14:59:40.746 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.746 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.746 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.746 18624 18642 I Unity   : 
03-04 14:59:40.779 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.779 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.779 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.779 18624 18642 I Unity   : 
03-04 14:59:40.813 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.813 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.813 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.813 18624 18642 I Unity   : 
03-04 14:59:40.824  1318  1318 D AOC     : A3:MSG: tmd3743_device.cc, 997: USF: TMD3743: C/G switch 1 -> 0 d_lux:258.16 w_lux: 150.38 C:4.48 G:2.15
03-04 14:59:40.846 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.846 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.846 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.846 18624 18642 I Unity   : 
03-04 14:59:40.879 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.879 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.879 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.879 18624 18642 I Unity   : 
03-04 14:59:40.913 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.913 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.913 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.913 18624 18642 I Unity   : 
03-04 14:59:40.947 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.947 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.947 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.947 18624 18642 I Unity   : 
03-04 14:59:40.965   493 18525 I keystore2: system/security/keystore2/watchdog/src/lib.rs:371 - Watchdog thread idle -> terminating. Have a great day.
03-04 14:59:40.979 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:40.979 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:40.979 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:40.979 18624 18642 I Unity   : 
03-04 14:59:41.012 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.012 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.012 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.012 18624 18642 I Unity   : 
03-04 14:59:41.020  1318  1318 D AOC     : A3:MSG: tmd3743_device.cc, 997: USF: TMD3743: C/G switch 0 -> 1 d_lux:146.12 w_lux: 101.18 C:3.07 G:1.27
03-04 14:59:41.046 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.046 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.046 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.046 18624 18642 I Unity   : 
03-04 14:59:41.079 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.079 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.079 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.079 18624 18642 I Unity   : 
03-04 14:59:41.112 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.112 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.112 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.112 18624 18642 I Unity   : 
03-04 14:59:41.145 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.145 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.145 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.145 18624 18642 I Unity   : 
03-04 14:59:41.179 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.179 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.179 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.179 18624 18642 I Unity   : 
03-04 14:59:41.211 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.211 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.211 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.211 18624 18642 I Unity   : 
03-04 14:59:41.241  2801  3213 W BluetoothRemoteDevices: Address type mismatch for XX:XX:XX:XX:BE:83, new type: 1
03-04 14:59:41.244 18624 18642 I Unity   : AuthManager.Update 
03-04 14:59:41.244 18624 18642 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
03-04 14:59:41.244 18624 18642 I Unity   : AuthManager:Update()
03-04 14:59:41.244 18624 18642 I Unity   : 
03-04 14:59:41.257  3230  5535 I NearbyDiscovery: BloomFilterAdvManager: Detected bloom filter but too far away, ignoring. 5.623413251903491m, mac=XX:XX:XX:XX:BE:83 [CONTEXT service_id=265 group_by="62:AB:1F:BF:BE:83" ratelimit_period="30 SECONDS" ]
03-04 14:59:41.278 18624 18642 I Unity   : AuthManager.Update 
